,date,total_rides
683,01/13/2022,582743
684,01/14/2022,579403
685,01/15/2022,355332
686,01/16/2022,275342
687,01/17/2022,408103
688,01/18/2022,634302
689,01/19/2022,609528
690,01/20/2022,570671
691,01/21/2022,588672
692,01/22/2022,367067
693,01/23/2022,262799
694,01/24/2022,587662
695,01/25/2022,586267
696,01/26/2022,529201
697,01/27/2022,643500
698,01/28/2022,540286
699,01/29/2022,377234
700,01/30/2022,278928
701,01/31/2022,658502
702,02/01/2022,712041
703,02/02/2022,441936
704,02/03/2022,574029
705,02/04/2022,655365
706,02/05/2022,392605
707,02/06/2022,305022
708,02/07/2022,663635
709,02/08/2022,711398
710,02/09/2022,716830
711,02/10/2022,710359
712,02/11/2022,682862
713,02/12/2022,414086
714,02/13/2022,309010
715,02/14/2022,661195
716,02/15/2022,717419
717,02/16/2022,722563
718,02/17/2022,625237
719,02/18/2022,652777
720,02/19/2022,408181
721,02/20/2022,340503
722,02/21/2022,549742
723,02/22/2022,678554
724,02/23/2022,723208
725,02/24/2022,707797
726,02/25/2022,690169
727,02/26/2022,450718
728,02/27/2022,337355
729,02/28/2022,709702
730,03/01/2022,769498
731,03/02/2022,766318
732,03/03/2022,752249
733,03/04/2022,726139
734,03/05/2022,512995
735,03/06/2022,336276
736,03/07/2022,660975
737,03/08/2022,768072
738,03/09/2022,777320
739,03/10/2022,755156
740,03/11/2022,717240
741,03/12/2022,535398
742,03/13/2022,369700
743,03/14/2022,742726
744,03/15/2022,785824
745,03/16/2022,813420
746,03/17/2022,800001
747,03/18/2022,697279
748,03/19/2022,454681
749,03/20/2022,403877
750,03/21/2022,745529
751,03/22/2022,723719
752,03/23/2022,696581
753,03/24/2022,732076
754,03/25/2022,722398
755,03/26/2022,433224
756,03/27/2022,341082
757,03/28/2022,726429
758,03/29/2022,769559
759,03/30/2022,725315
760,03/31/2022,760542
761,04/01/2022,799513
762,04/02/2022,458427
763,04/03/2022,372776
764,04/04/2022,748471
765,04/05/2022,808939
766,04/06/2022,798326
767,04/07/2022,815641
768,04/08/2022,699337
769,04/09/2022,515695
770,04/10/2022,406249
771,04/11/2022,664583
772,04/12/2022,749486
773,04/13/2022,666511
774,04/14/2022,724726
775,04/15/2022,644215
776,04/16/2022,490488
777,04/17/2022,323575
778,04/18/2022,695701
779,04/19/2022,786168
780,04/20/2022,776620
781,04/21/2022,794918
782,04/22/2022,709463
783,04/23/2022,590891
784,04/24/2022,355206
785,04/25/2022,748466
786,04/26/2022,799795
787,04/27/2022,798846
788,04/28/2022,790775
789,04/29/2022,796940
790,04/30/2022,469133
791,05/01/2022,376871
792,05/02/2022,744968
793,05/03/2022,731277
794,05/04/2022,844662
795,05/05/2022,793785
796,05/06/2022,728087
797,05/07/2022,571442
798,05/08/2022,372108
799,05/09/2022,752782
800,05/10/2022,822502
801,05/11/2022,814350
802,05/12/2022,820984
803,05/13/2022,802880
804,05/14/2022,552405
805,05/15/2022,382913
806,05/16/2022,765480
