,date,total_rides
559,01/19/2024,7597
560,01/18/2024,11046
561,01/17/2024,10680
562,01/16/2024,8870
563,01/15/2024,4916
564,01/14/2024,6585
565,01/13/2024,9161
566,01/12/2024,11433
567,01/11/2024,13574
568,01/10/2024,11504
569,01/09/2024,9539
570,01/08/2024,12013
571,01/07/2024,3930
572,01/06/2024,6286
573,01/05/2024,11366
574,01/04/2024,13152
575,01/03/2024,14444
576,01/02/2024,14162
577,01/01/2024,7957
578,12/31/2023,7832
579,12/30/2023,12598
580,12/29/2023,19489
581,12/28/2023,12447
582,12/27/2023,10747
583,12/26/2023,13418
584,12/25/2023,6219
585,12/24/2023,6874
586,12/23/2023,8744
587,12/22/2023,11250
588,12/21/2023,12033
589,12/20/2023,12883
590,12/19/2023,12964
591,12/18/2023,7344
592,12/17/2023,5304
593,12/16/2023,14429
594,12/15/2023,13728
595,12/14/2023,13457
596,12/13/2023,14487
597,12/12/2023,14669
598,12/11/2023,10863
599,12/10/2023,4153
600,12/09/2023,14951
601,12/08/2023,14478
602,12/07/2023,13458
603,12/06/2023,14191
604,12/05/2023,14818
605,12/04/2023,14009
606,12/03/2023,3749
607,12/02/2023,14624
608,12/01/2023,11175
609,11/30/2023,14314
610,11/29/2023,13251
611,11/28/2023,13080
612,11/27/2023,12969
613,11/26/2023,6545
614,11/25/2023,10620
615,11/24/2023,11410
616,11/23/2023,6390
617,11/22/2023,11815
618,11/21/2023,12163
619,11/20/2023,13641
620,11/19/2023,14035
621,11/18/2023,13787
622,11/17/2023,15639
623,11/16/2023,16314
624,11/15/2023,15611
625,11/14/2023,15087
626,11/13/2023,13411
627,11/12/2023,11193
628,11/11/2023,16096
629,11/10/2023,14068
630,11/09/2023,15955
631,11/08/2023,16122
632,11/07/2023,17845
633,11/06/2023,15254
634,11/05/2023,17313
635,11/04/2023,16459
636,11/03/2023,17117
637,11/02/2023,17524
638,11/01/2023,15568
639,10/31/2023,17138
640,10/30/2023,14385
641,10/29/2023,7795
642,10/28/2023,41313
643,10/27/2023,21247
644,10/26/2023,22892
645,10/25/2023,21714
646,10/24/2023,18973
647,10/23/2023,17937
648,10/22/2023,22806
649,10/21/2023,16688
650,10/20/2023,10976
651,10/19/2023,21310
652,10/18/2023,19606
653,10/17/2023,19338
654,10/16/2023,17467
655,10/15/2023,21984
656,10/14/2023,8046
657,10/13/2023,21558
658,10/12/2023,21466
659,10/11/2023,21279
660,10/10/2023,18895
661,10/09/2023,18221
662,10/08/2023,24336
663,10/07/2023,9908
664,10/06/2023,14819
665,10/05/2023,34759
666,10/04/2023,37834
667,10/03/2023,38245
668,10/02/2023,34275
669,10/01/2023,30295
670,09/30/2023,16591
671,09/29/2023,11733
672,09/28/2023,17134
673,09/27/2023,20955
674,09/26/2023,14376
675,09/25/2023,8810
676,09/24/2023,6505
677,09/23/2023,5174
678,09/22/2023,21809
679,09/21/2023,23481
680,09/20/2023,22964
681,09/19/2023,19372
682,09/18/2023,11832
683,09/17/2023,27168
684,09/16/2023,31773
685,09/15/2023,21789
686,09/14/2023,23482
687,09/13/2023,18331
688,09/12/2023,23439
689,09/11/2023,17422
690,09/10/2023,13646
691,09/09/2023,25130
692,09/08/2023,16998
693,09/07/2023,21693
694,09/06/2023,22510
695,09/05/2023,21195
696,09/04/2023,36514
697,09/03/2023,47336
698,09/02/2023,44686
699,09/01/2023,27237
700,08/31/2023,26024
701,08/30/2023,21233
702,08/29/2023,20709
703,08/28/2023,20164
704,08/27/2023,41750
705,08/26/2023,40639
706,08/25/2023,13345
707,08/24/2023,16689
708,08/23/2023,26673
709,08/22/2023,26547
710,08/21/2023,23769
711,08/20/2023,45257
712,08/19/2023,47225
713,08/18/2023,25922
714,08/17/2023,23666
715,08/16/2023,25083
716,08/15/2023,21507
717,08/14/2023,23118
