,date,total_rides
549,01/29/2024,718798
550,01/28/2024,325366
551,01/27/2024,482978
552,01/26/2024,715935
553,01/25/2024,776850
554,01/24/2024,809309
555,01/23/2024,797866
556,01/22/2024,690801
557,01/21/2024,313202
558,01/20/2024,380329
559,01/19/2024,374630
560,01/18/2024,767804
561,01/17/2024,659219
562,01/16/2024,323677
563,01/15/2024,316548
564,01/14/2024,322431
565,01/13/2024,470852
566,01/12/2024,667134
567,01/11/2024,780058
568,01/10/2024,786846
569,01/09/2024,637642
570,01/08/2024,703016
571,01/07/2024,341820
572,01/06/2024,319953
573,01/05/2024,661316
574,01/04/2024,697313
575,01/03/2024,712973
576,01/02/2024,597891
577,01/01/2024,246650
578,12/31/2023,367856
579,12/30/2023,414815
580,12/29/2023,557618
581,12/28/2023,556893
582,12/27/2023,456974
583,12/26/2023,430898
584,12/25/2023,181229
585,12/24/2023,270650
586,12/23/2023,382990
587,12/22/2023,548567
588,12/21/2023,626138
589,12/20/2023,680764
590,12/19/2023,687832
591,12/18/2023,644544
592,12/17/2023,311309
593,12/16/2023,500484
594,12/15/2023,723505
595,12/14/2023,789828
596,12/13/2023,806832
597,12/12/2023,786317
598,12/11/2023,701864
599,12/10/2023,293916
600,12/09/2023,498459
601,12/08/2023,726589
602,12/07/2023,788159
603,12/06/2023,795020
604,12/05/2023,803992
605,12/04/2023,720743
606,12/03/2023,358488
607,12/02/2023,495529
608,12/01/2023,687783
609,11/30/2023,775883
610,11/29/2023,751751
611,11/28/2023,743222
612,11/27/2023,693137
613,11/26/2023,305167
614,11/25/2023,387562
615,11/24/2023,462844
616,11/23/2023,227764
617,11/22/2023,595917
618,11/21/2023,626072
619,11/20/2023,698392
620,11/19/2023,364726
621,11/18/2023,475179
622,11/17/2023,743208
623,11/16/2023,817474
624,11/15/2023,848371
625,11/14/2023,953804
626,11/13/2023,745243
627,11/12/2023,380375
628,11/11/2023,497031
629,11/10/2023,535996
630,11/09/2023,814312
631,11/08/2023,844374
632,11/07/2023,827781
