"service_date","day_type","bus","rail_boardings","total_rides"
"01/30/2021","A","192,267","102,119","294,386"
"01/31/2021","U","119,669","75,697","195,366"
"02/01/2021","W","285,366","145,356","430,722"
"02/02/2021","W","288,369","146,050","434,419"
"02/03/2021","W","315,672","152,303","467,975"
"02/04/2021","W","278,515","147,593","426,108"
"02/05/2021","W","250,369","139,613","389,982"
"02/06/2021","A","161,437","89,065","250,502"
"02/07/2021","U","110,637","64,459","175,096"
"02/08/2021","W","242,899","128,998","371,897"
"02/09/2021","W","260,772","137,064","397,836"
"02/10/2021","W","267,271","141,210","408,481"
"02/11/2021","W","269,772","146,284","416,056"
"02/12/2021","W","280,767","149,261","430,028"
"02/13/2021","A","186,257","106,030","292,287"
"02/14/2021","U","121,070","73,603","194,673"
"02/15/2021","W","196,912","118,258","315,170"
"02/16/2021","W","206,197","114,830","321,027"
"02/17/2021","W","278,930","149,828","428,758"
"02/18/2021","W","283,168","155,250","438,418"
"02/19/2021","W","287,852","156,832","444,684"
"02/20/2021","A","192,157","112,011","304,168"
"02/21/2021","U","146,116","81,211","227,327"
"02/22/2021","W","280,331","146,573","426,904"
"02/23/2021","W","308,822","157,020","465,842"
"02/24/2021","W","307,300","156,793","464,093"
"02/25/2021","W","300,304","157,867","458,171"
"02/26/2021","W","309,217","164,565","473,782"
"02/27/2021","A","232,432","127,246","359,678"
"02/28/2021","U","158,200","87,008","245,208"
"03/01/2021","W","309,106","149,826","458,932"
"03/02/2021","W","308,998","156,140","465,138"
"03/03/2021","W","333,410","163,566","496,976"
"03/04/2021","W","309,302","159,889","469,191"
"03/05/2021","W","317,629","167,771","485,400"
"03/06/2021","A","228,890","124,851","353,741"
"03/07/2021","U","173,071","95,906","268,977"
"03/08/2021","W","317,267","159,512","476,779"
"03/09/2021","W","327,340","164,868","492,208"
"03/10/2021","W","312,074","161,736","473,810"
"03/11/2021","W","318,121","165,057","483,178"
"03/12/2021","W","323,199","172,476","495,675"
"03/13/2021","A","247,738","148,004","395,742"
"03/14/2021","U","163,299","97,387","260,686"
"03/15/2021","W","265,818","144,990","410,808"
"03/16/2021","W","300,583","158,171","458,754"
"03/17/2021","W","310,656","165,207","475,863"
"03/18/2021","W","293,346","160,989","454,335"
"03/19/2021","W","330,666","178,106","508,772"
"03/20/2021","A","246,067","141,702","387,769"
"03/21/2021","U","187,953","111,138","299,091"
"03/22/2021","W","319,333","164,624","483,957"
"03/23/2021","W","303,876","159,635","463,511"
"03/24/2021","W","320,929","168,422","489,351"
"03/25/2021","W","316,190","168,278","484,468"
"03/26/2021","W","321,386","175,255","496,641"
"03/27/2021","A","235,940","137,705","373,645"
