Date,Whitehall Terminal,St. George Terminal
08/27/2022,20194,19815
08/28/2022,17203,16630
08/29/2022,21877,21538
08/30/2022,21424,20921
08/31/2022,21135,20921
09/01/2022,21894,21767
09/02/2022,22351,22356
09/03/2022,22753,22134
09/04/2022,21933,20863
09/05/2022,17177,16576
09/06/2022,16614,16236
09/07/2022,20327,20285
09/08/2022,23092,22784
09/09/2022,22604,22801
09/10/2022,20103,19428
09/11/2022,13663,12521
09/12/2022,21975,21796
09/13/2022,21387,21211
09/14/2022,22764,22593
09/15/2022,22358,22211
09/16/2022,22796,22864
09/17/2022,19895,19872
09/18/2022,16413,16460
09/19/2022,21611,21364
09/20/2022,22612,22634
09/21/2022,22930,22677
09/22/2022,20399,19686
09/23/2022,23240,23505
09/24/2022,20182,20144
09/25/2022,16907,14640
09/26/2022,22160,21746
09/27/2022,21220,20901
09/28/2022,21658,21736
09/29/2022,22075,21988
09/30/2022,21665,21706
10/01/2022,11923,11651
10/02/2022,10459,9666
10/03/2022,19887,19720
10/04/2022,17604,17442
10/05/2022,18280,18458
10/06/2022,25480,25585
10/07/2022,24509,24248
10/08/2022,20782,20153
10/09/2022,24075,23121
10/10/2022,21263,20942
10/11/2022,23834,23736
10/12/2022,24845,24559
10/13/2022,19973,19927
10/14/2022,23404,23646
10/15/2022,19794,19380
10/16/2022,16322,15160
10/17/2022,20526,20353
10/18/2022,22596,22460
10/19/2022,21774,21674
10/20/2022,21920,21756
10/21/2022,22811,22775
10/22/2022,20427,20051
10/23/2022,13828,12719
10/24/2022,20499,20448
10/25/2022,21749,21451
10/26/2022,22191,22142
10/27/2022,24809,24810
10/28/2022,22815,22789
10/29/2022,18680,18085
10/30/2022,16817,15553
10/31/2022,21262,21484
11/01/2022,21575,20974
11/02/2022,22676,22605
11/03/2022,21890,21797
11/04/2022,22056,22007
11/05/2022,19577,19057
11/06/2022,41547,17399
11/07/2022,21968,22034
11/08/2022,19283,19024
11/09/2022,20267,19844
11/10/2022,21378,21515
11/11/2022,16208,15490
11/12/2022,19408,19381
11/13/2022,12373,11545
11/14/2022,19577,19539
11/15/2022,18792,18531
11/16/2022,18226,18306
11/17/2022,19571,19524
11/18/2022,19578,19441
11/19/2022,14992,14799
11/20/2022,11261,10424
11/21/2022,19783,19789
11/22/2022,21229,21039
11/23/2022,22304,21868
11/24/2022,16705,19203
11/25/2022,16177,16812
11/26/2022,20179,20230
11/27/2022,9961,9457
11/28/2022,19718,19754
11/29/2022,19202,19374
11/30/2022,17388,16987
12/01/2022,20813,21017
12/02/2022,21964,21965
12/03/2022,13993,13848
12/04/2022,16848,15853
12/05/2022,22902,22704
12/06/2022,19539,19357
12/07/2022,18840,19058
12/08/2022,21866,22584
12/09/2022,22019,22199
12/10/2022,19155,19004
12/11/2022,11495,10616
12/12/2022,19700,19711
12/13/2022,19914,19764
12/14/2022,19254,18966
12/15/2022,17649,17538
12/16/2022,15906,16048
12/17/2022,18736,18532
12/18/2022,13874,13542
12/19/2022,21393,21203
12/20/2022,21829,21368
12/21/2022,21654,21510
12/22/2022,17660,17524
12/23/2022,14018,13410
12/24/2022,8999,8449
12/25/2022,12278,11925
12/26/2022,17658,17618
12/27/2022,23286,23334
12/28/2022,27081,26789
12/29/2022,28374,28111
12/30/2022,29390,29326
12/31/2022,10931,11407
01/01/2023,23255,21143
01/02/2023,20255,20200
01/03/2023,17893,17809
01/04/2023,20949,20671
01/05/2023,19707,19571
01/06/2023,18323,18568
01/07/2023,15051,14824
01/08/2023,12477,11661
01/09/2023,16933,16840
01/10/2023,17503,17562
01/11/2023,17841,17588
01/12/2023,16802,16771
01/13/2023,17241,17477
01/14/2023,12926,12802
01/15/2023,12148,11488
01/16/2023,13631,13368
01/17/2023,17247,17372
01/18/2023,18206,18145
01/19/2023,15661,15518
01/20/2023,18092,18343
01/21/2023,13920,13786
01/22/2023,10763,10152
01/23/2023,15112,15151
01/24/2023,18195,18311
01/25/2023,16362,15942
01/26/2023,17631,17721
01/27/2023,18149,18446
01/28/2023,14930,14778
01/29/2023,11882,11207
01/30/2023,18273,18402
01/31/2023,21541,20942
02/01/2023,17988,18032
02/02/2023,18122,18107
02/03/2023,15576,15505
