Date,Boardings
07/06/2023,25229
07/05/2023,23908
07/04/2023,16087
07/03/2023,29865
07/02/2023,29405
07/01/2023,41176
06/30/2023,23389
06/29/2023,24929
06/28/2023,23520
06/27/2023,18650
06/26/2023,16060
06/25/2023,33202
06/24/2023,25410
06/23/2023,14720
06/22/2023,15900
06/21/2023,21061
06/20/2023,21023
06/19/2023,36760
06/18/2023,43306
06/17/2023,36064
06/16/2023,15760
06/15/2023,24259
06/14/2023,17673
06/13/2023,24020
06/12/2023,15307
06/11/2023,34647
06/10/2023,40268
06/09/2023,19440
06/08/2023,13314
06/07/2023,15197
06/06/2023,19790
06/05/2023,19716
06/04/2023,28620
06/03/2023,26077
06/02/2023,24944
06/01/2023,24171
05/31/2023,21764
05/30/2023,20737
05/29/2023,46734
05/28/2023,47143
05/27/2023,45507
05/26/2023,22888
05/25/2023,20473
05/24/2023,20383
05/23/2023,20131
05/22/2023,19660
05/21/2023,33830
05/20/2023,9213
05/19/2023,22718
05/18/2023,20432
05/17/2023,20528
05/16/2023,22622
05/15/2023,19369
05/14/2023,34681
05/13/2023,34857
05/12/2023,25178
05/11/2023,21720
05/10/2023,19063
05/09/2023,18076
05/08/2023,19822
05/07/2023,35448
05/06/2023,34998
05/05/2023,17691
05/04/2023,13349
05/03/2023,15033
05/02/2023,15261
05/01/2023,17107
04/30/2023,5357
04/29/2023,5255
04/28/2023,14374
04/27/2023,16397
04/26/2023,16968
04/25/2023,17658
04/24/2023,16415
04/23/2023,21299
04/22/2023,26831
04/21/2023,24355
04/20/2023,17941
04/19/2023,16676
04/18/2023,14597
04/17/2023,13173
04/16/2023,24772
04/15/2023,22193
04/14/2023,29459
04/13/2023,28462
04/12/2023,26002
04/11/2023,27557
04/10/2023,32773
04/09/2023,27092
04/08/2023,25481
04/07/2023,16797
04/06/2023,17936
04/05/2023,12473
04/04/2023,20030
04/03/2023,15030
04/02/2023,14510
04/01/2023,12030
03/31/2023,12013
03/30/2023,12977
03/29/2023,14704
03/28/2023,13118
03/27/2023,11463
03/26/2023,21340
03/25/2023,5852
03/24/2023,12927
03/23/2023,12067
03/22/2023,14698
03/21/2023,16527
03/20/2023,12384
